Brass-1	Brass-2	Brass-3	Brass-4	Brass-5	Copper-1	Copper-2	Copper-3	Copper-4	Copper-5	Steel-1	Steel-2	Steel-3	Steel-4	Steel-5	Aluminum-1	Aluminum-2	Aluminum-3	Aluminum-4	Aluminum-5	
°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	
 2.186029e+001	 2.171357e+001	 2.171432e+001	 2.174114e+001	 2.184612e+001	 2.175940e+001	 2.159999e+001	 2.165284e+001	 2.178760e+001	 2.188142e+001	 2.191127e+001	 2.199932e+001	 2.190332e+001	 2.191281e+001	 2.219955e+001	 2.188648e+001	 2.161480e+001	 2.168577e+001	 2.176794e+001	 2.191777e+001	
 2.185156e+001	 2.179342e+001	 2.170028e+001	 2.173747e+001	 2.184166e+001	 2.174833e+001	 2.157733e+001	 2.165583e+001	 2.176037e+001	 2.190962e+001	 2.193497e+001	 2.197123e+001	 2.190910e+001	 2.186296e+001	 2.217238e+001	 2.185554e+001	 2.160288e+001	 2.169660e+001	 2.179406e+001	 2.188468e+001	
 2.184970e+001	 2.176592e+001	 2.170300e+001	 2.172573e+001	 2.182290e+001	 2.175897e+001	 2.160382e+001	 2.167583e+001	 2.179623e+001	 2.192038e+001	 2.192180e+001	 2.196209e+001	 2.190399e+001	 2.189918e+001	 2.217538e+001	 2.186206e+001	 2.159850e+001	 2.169249e+001	 2.178277e+001	 2.189599e+001	
 2.186624e+001	 2.173900e+001	 2.166985e+001	 2.173476e+001	 2.179219e+001	 2.174388e+001	 2.157292e+001	 2.167008e+001	 2.179701e+001	 2.191651e+001	 2.198723e+001	 2.197477e+001	 2.191234e+001	 2.188457e+001	 2.216764e+001	 2.186236e+001	 2.161392e+001	 2.170813e+001	 2.177257e+001	 2.193066e+001	
 2.190666e+001	 2.174556e+001	 2.171330e+001	 2.174808e+001	 2.182006e+001	 2.177989e+001	 2.159838e+001	 2.163286e+001	 2.179021e+001	 2.192151e+001	 2.194098e+001	 2.198518e+001	 2.190119e+001	 2.187806e+001	 2.217677e+001	 2.187962e+001	 2.162262e+001	 2.171199e+001	 2.179766e+001	 2.193983e+001	
 2.193397e+001	 2.175137e+001	 2.169016e+001	 2.174067e+001	 2.181350e+001	 2.173458e+001	 2.155670e+001	 2.168046e+001	 2.177069e+001	 2.192797e+001	 2.194964e+001	 2.195686e+001	 2.190666e+001	 2.186881e+001	 2.217896e+001	 2.191793e+001	 2.162510e+001	 2.172333e+001	 2.176572e+001	 2.192406e+001	
 2.190462e+001	 2.178473e+001	 2.170804e+001	 2.175052e+001	 2.178551e+001	 2.177014e+001	 2.160006e+001	 2.166831e+001	 2.175516e+001	 2.192396e+001	 2.195708e+001	 2.197948e+001	 2.195191e+001	 2.192192e+001	 2.222117e+001	 2.194238e+001	 2.166086e+001	 2.169220e+001	 2.175708e+001	 2.190816e+001	
 2.191908e+001	 2.179215e+001	 2.170469e+001	 2.168799e+001	 2.181648e+001	 2.174450e+001	 2.158534e+001	 2.165334e+001	 2.176973e+001	 2.189732e+001	 2.196423e+001	 2.199416e+001	 2.189590e+001	 2.189951e+001	 2.216903e+001	 2.190723e+001	 2.162612e+001	 2.168394e+001	 2.181626e+001	 2.190071e+001	
 2.190356e+001	 2.176517e+001	 2.169605e+001	 2.175353e+001	 2.182961e+001	 2.176523e+001	 2.157897e+001	 2.166828e+001	 2.177247e+001	 2.191392e+001	 2.195245e+001	 2.196019e+001	 2.191794e+001	 2.187702e+001	 2.219138e+001	 2.194747e+001	 2.160952e+001	 2.172968e+001	 2.178654e+001	 2.188124e+001	
